week,proc_Ind_cmp,proc_Ind_run,proc_Rng_cmp,proc_Rng_run,proc_Ser_cmp,proc_Ser_run,proc_Bat_cmp,proc_Bat_run,proc_IndMod_cmp,proc_IndMod_run,proc_NoBO,proc_Parser_cmp,proc_Parser_run,proc_Ind_cmp_bad,proc_Ind_run_bad,proc_Rng_cmp_bad,proc_Rng_run_bad,proc_Ser_cmp_bad,proc_Ser_run_bad,proc_Bat_cmp_bad,proc_Bat_run_bad,proc_IndMod_cmp_bad,proc_IndMod_run_bad,proc_NoBO_bad,proc_Parser_cmp_bad,proc_Parser_run_bad,sum_proc,sum_proc_bad,sum_BO_Parser,acc_proc,pa1_Ind_cmp,pa1_Ind_run,pa1_Rng_cmp,pa1_Rng_run,pa1_Ser_cmp,pa1_Ser_run,pa1_Bat_cmp,pa1_Bat_run,pa1_IndMod_cmp,pa1_IndMod_run,pa1_NoBO,pa1_Parser_cmp,pa1_Parser_run,pa1_Ind_cmp_bad,pa1_Ind_run_bad,pa1_Rng_cmp_bad,pa1_Rng_run_bad,pa1_Ser_cmp_bad,pa1_Ser_run_bad,pa1_Bat_cmp_bad,pa1_Bat_run_bad,pa1_IndMod_cmp_bad,pa1_IndMod_run_bad,sum_pa1,sum_pa1_bad,acc_pa1,pa2_Ind_cmp,pa2_Ind_run,pa2_Rng_cmp,pa2_Rng_run,pa2_Bat_cmp,pa2_Bat_run,sum_pa2,ing_Ind_cmp,ing_Ind_run,ing_Rng_cmp,ing_Rng_run,ing_Ser_cmp,ing_Ser_run,ing_Bat_cmp,ing_Bat_run,ing_IndMod_cmp,ing_IndMod_run,ing_Parser_cmp,ing_Parser_run,ing_Parser_ing,ing_Ind_cmp_bad,ing_Ind_run_bad,ing_Rng_cmp_bad,ing_Rng_run_bad,ing_Ser_cmp_bad,ing_Ser_run_bad,ing_Bat_cmp_bad,ing_Bat_run_bad,ing_IndMod_cmp_bad,ing_IndMod_run_bad,ing_Parser_cmp_bad,ing_Parser_run_bad,ing_Parser_ing_bad,sum_ing,sum_ing_bad,acc_ing,ia1_Ind_cmp,ia1_Ind_run,ia1_Rng_cmp,ia1_Rng_run,ia1_Ser_cmp,ia1_Ser_run,ia1_Bat_cmp,ia1_Bat_run,ia1_IndMod_cmp,ia1_IndMod_run,ia1_Parser_cmp,ia1_Parser_run,ia1_Parser_ing,ia1_Ind_cmp_bad,ia1_Ind_run_bad,ia1_Parser_ing_bad,sum_ia1,sum_ia1_bad,acc_ia1,ia2_Ind_cmp,ia2_Ind_run,ia2_Parser_ing,sum_ia2,aps_Stack_cmp,aps_Stack_run,sum_aps,sum_mail,sum_BO,sum_task,sum_task_bad,acc_overall,acc_final
2018-10-29 14:00:00,17,1,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,64,1.0,31,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,38,0,1.0,7,0,4,0,0,0,11,34,0,6,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,1.0,34,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,45,0,1.0,61,0,6,67,1,7,8,0,87,246,0,1.0,1.0
2018-10-30 14:00:00,12,0,16,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,30,4,117,0.866666666667,82,0,16,0,0,0,0,0,0,0,0,0,2,6,0,1,0,0,0,0,0,0,0,100,7,0.93,10,0,12,0,0,0,22,21,0,2,0,0,0,0,0,15,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,1.0,21,0,2,1,0,0,0,0,15,0,0,0,77,0,0,0,116,0,1.0,26,0,73,99,0,3,3,0,145,526,11,0.979087452471,1.0
2018-10-31 14:00:00,56,0,12,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,69,4,0,0.942028985507,59,0,12,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,72,1,0.986111111111,60,0,9,0,0,0,69,10,0,11,1,0,0,0,0,18,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,1.0,10,0,11,3,0,0,0,0,18,0,0,0,41,0,0,0,83,0,1.0,8,0,16,24,0,0,0,0,69,457,5,0.989059080963,1.0
2018-11-01 14:00:00,26,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,28,2,51,0.928571428571,25,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,0,1.0,208,0,0,0,0,0,208,23,0,5,2,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,1.0,23,0,5,4,0,0,0,0,0,0,0,0,30,0,0,0,62,0,1.0,0,0,38,38,0,1,1,0,78,444,2,0.995495495495,1.0
2018-11-02 14:00:00,11,0,4,0,0,0,0,0,29,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,44,2,0,0.954545454545,14,0,4,0,0,0,0,0,32,0,0,0,0,2,0,0,0,0,0,0,0,0,0,50,2,0.96,25,0,4,0,0,0,29,29,0,10,0,0,0,0,0,7,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,1.0,29,0,10,1,0,0,0,0,7,0,0,0,16,0,0,0,63,0,1.0,0,0,36,36,2,0,2,0,44,286,4,0.986013986014,1.0
2018-11-03 14:00:00,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1.0,9,4,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,19,2,0.894736842105,13,2,0,0,0,0,15,34,0,14,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,1.0,35,0,14,0,0,0,0,0,24,0,0,0,0,0,0,0,73,0,1.0,54,0,0,54,4,0,4,0,6,243,2,0.991769547325,1.0
2018-11-04 14:00:00,38,0,8,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,1.0,38,0,8,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,1.0,41,0,8,0,0,0,49,137,0,6,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,1.0,138,0,6,2,0,0,0,0,26,0,0,0,0,0,0,0,172,0,1.0,83,0,0,83,1,0,1,0,71,616,0,1.0,1.0
2018-11-05 14:00:00,27,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,1.0,28,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,1.0,51,0,2,0,0,0,53,37,0,17,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,62,1,0.983870967742,37,0,17,11,0,0,0,0,1,0,0,0,0,0,0,0,66,0,1.0,46,0,0,46,19,1,20,0,30,308,1,0.996753246753,0.986666666667
2018-11-06 14:00:00,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,57,1.0,31,11,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,44,4,0.909090909091,19,0,0,0,0,0,19,36,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,1.0,36,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,45,0,1.0,40,0,4,44,2,4,6,0,66,215,4,0.981395348837,1.0
2018-11-07 14:00:00,7,0,12,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,21,1,57,0.952380952381,7,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,21,0,1.0,23,2,12,0,0,0,37,30,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,1.0,30,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,36,0,1.0,1,0,7,8,2,3,5,0,76,168,1,0.994047619048,1.0
2018-11-08 14:00:00,45,0,5,0,0,0,0,0,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,59,6,0,0.898305084746,43,0,5,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,60,12,0.8,39,3,5,0,0,0,47,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1.0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1.0,25,0,0,25,2,0,2,0,59,206,18,0.912621359223,1.0
2018-11-09 14:00:00,24,0,4,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,31,2,0,0.935483870968,28,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,1.0,40,0,4,2,0,0,46,45,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,1.0,45,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,61,0,1.0,15,0,0,15,0,2,2,0,31,250,2,0.992,1.0
2018-11-10 14:00:00,6,0,3,2,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,1.0,6,0,3,2,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,0,0,0,0,30,1,0.966666666667,19,0,3,2,0,0,24,86,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,1.0,84,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,96,0,1.0,104,0,0,104,20,2,22,0,29,399,1,0.997493734336,1.0
2018-11-11 14:00:00,7,0,3,0,0,0,0,0,5,0,18,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,36,1,460,0.972222222222,7,0,3,0,0,0,0,0,5,0,19,0,3,0,0,1,0,0,0,0,0,0,0,37,1,0.972972972973,12,0,3,0,0,0,15,103,0,28,1,0,0,0,0,9,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,421,0,1.0,102,0,28,5,0,0,0,0,9,0,0,0,249,0,0,0,393,0,1.0,88,0,219,307,23,3,26,0,493,1235,2,0.998380566802,1.0
2018-11-12 14:00:00,15,0,6,0,0,5,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,34,1,498,0.970588235294,15,0,6,0,0,5,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,34,0,1.0,6,0,6,0,0,0,12,96,0,5,0,0,0,0,0,3,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,1.0,96,0,5,0,0,0,0,0,3,0,0,0,234,0,0,0,338,0,1.0,95,0,240,335,4,7,11,0,528,1064,1,0.999060150376,1.0
2018-11-13 14:00:00,16,0,10,0,0,5,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,254,1.0,16,0,10,0,0,5,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,35,0,1.0,6,0,10,0,0,0,16,40,0,4,5,0,0,0,0,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,332,0,1.0,39,0,4,7,0,0,0,0,0,0,0,0,276,0,0,0,326,0,1.0,39,0,212,251,0,5,5,0,286,1000,0,1.0,1.0
2018-11-14 14:00:00,24,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35,1,0,0.971428571429,24,0,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,1.0,40,0,11,0,0,0,51,30,0,12,1,0,0,0,0,0,0,0,0,242,0,0,2,0,0,0,0,0,0,0,0,0,0,285,2,0.99298245614,29,0,12,3,0,0,0,0,0,0,0,0,173,0,0,0,217,0,1.0,29,0,103,132,0,3,3,0,35,761,3,0.99605781866,0.986394557823
