week,proc_Ind_cmp,proc_Ind_run,proc_Rng_cmp,proc_Rng_run,proc_Ser_cmp,proc_Ser_run,proc_Bat_cmp,proc_Bat_run,proc_IndMod_cmp,proc_IndMod_run,proc_NoBO,proc_Parser_cmp,proc_Parser_run,proc_Ind_cmp_bad,proc_Ind_run_bad,proc_Rng_cmp_bad,proc_Rng_run_bad,proc_Ser_cmp_bad,proc_Ser_run_bad,proc_Bat_cmp_bad,proc_Bat_run_bad,proc_IndMod_cmp_bad,proc_IndMod_run_bad,proc_NoBO_bad,proc_Parser_cmp_bad,proc_Parser_run_bad,sum_proc,sum_proc_bad,sum_BO_Parser,acc_proc,pa1_Ind_cmp,pa1_Ind_run,pa1_Rng_cmp,pa1_Rng_run,pa1_Ser_cmp,pa1_Ser_run,pa1_Bat_cmp,pa1_Bat_run,pa1_IndMod_cmp,pa1_IndMod_run,pa1_NoBO,pa1_Parser_cmp,pa1_Parser_run,pa1_Ind_cmp_bad,pa1_Ind_run_bad,pa1_Rng_cmp_bad,pa1_Rng_run_bad,pa1_Ser_cmp_bad,pa1_Ser_run_bad,pa1_Bat_cmp_bad,pa1_Bat_run_bad,pa1_IndMod_cmp_bad,pa1_IndMod_run_bad,sum_pa1,sum_pa1_bad,acc_pa1,pa2_Ind_cmp,pa2_Ind_run,pa2_Rng_cmp,pa2_Rng_run,pa2_Bat_cmp,pa2_Bat_run,sum_pa2,ing_Ind_cmp,ing_Ind_run,ing_Rng_cmp,ing_Rng_run,ing_Ser_cmp,ing_Ser_run,ing_Bat_cmp,ing_Bat_run,ing_IndMod_cmp,ing_IndMod_run,ing_Parser_cmp,ing_Parser_run,ing_Parser_ing,ing_Ind_cmp_bad,ing_Ind_run_bad,ing_Rng_cmp_bad,ing_Rng_run_bad,ing_Ser_cmp_bad,ing_Ser_run_bad,ing_Bat_cmp_bad,ing_Bat_run_bad,ing_IndMod_cmp_bad,ing_IndMod_run_bad,ing_Parser_cmp_bad,ing_Parser_run_bad,ing_Parser_ing_bad,sum_ing,sum_ing_bad,acc_ing,ia1_Ind_cmp,ia1_Ind_run,ia1_Rng_cmp,ia1_Rng_run,ia1_Ser_cmp,ia1_Ser_run,ia1_Bat_cmp,ia1_Bat_run,ia1_IndMod_cmp,ia1_IndMod_run,ia1_Parser_cmp,ia1_Parser_run,ia1_Parser_ing,ia1_Ind_cmp_bad,ia1_Ind_run_bad,ia1_Parser_ing_bad,sum_ia1,sum_ia1_bad,acc_ia1,ia2_Ind_cmp,ia2_Ind_run,ia2_Parser_ing,sum_ia2,aps_Stack_cmp,aps_Stack_run,sum_aps,sum_mail,sum_BO,sum_task,sum_task_bad,acc_overall
2018-10-01 00:00:00,39,0,10,0,0,0,0,0,2,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,51,14,0,0.725490196078,34,0,10,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,48,0,1.0,32,0,2,0,0,0,34,15,0,4,1,0,0,0,0,7,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,1.0,15,0,9,1,0,0,0,0,7,0,0,0,43,0,0,0,75,0,1.0,4,0,20,24,1,1,2,0,51,296,14,0.952702702703
2018-10-02 00:00:00,1,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1.0,2,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1.0,3,0,1,0,0,0,4,95,0,30,11,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,1.0,68,0,28,11,0,0,0,0,11,0,0,0,0,0,0,0,118,0,1.0,98,0,0,98,18,0,18,0,16,423,0,1.0
2018-10-03 00:00:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.0,1,0,0,0,0,0,1,11,0,38,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,1.0,11,0,38,30,0,0,0,0,1,0,0,0,0,0,0,0,80,0,1.0,12,0,0,12,4,1,5,0,1,181,0,1.0
2018-10-04 00:00:00,34,0,1,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,37,10,28,0.72972972973,34,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,37,2,0.945945945946,28,0,1,0,0,0,29,36,0,27,12,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,1.0,22,0,27,12,0,0,0,0,0,0,0,0,13,0,0,0,74,0,1.0,29,0,12,41,3,4,7,0,63,314,12,0.96178343949
2018-10-05 00:00:00,13,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0.866666666667,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1.0,21,0,2,0,0,0,23,3,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1.0,3,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1.0,3,0,0,3,1,1,2,0,15,86,2,0.976744186047
2018-10-06 00:00:00,64,36,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,100,17,0,0.83,61,34,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,95,10,0.894736842105,35,5,0,0,0,0,40,14,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1.0,14,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,18,0,1.0,11,0,0,11,3,3,6,0,100,288,27,0.90625
2018-10-07 00:00:00,73,0,0,0,0,0,0,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,76,17,0,0.776315789474,73,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,1.0,41,19,0,0,0,0,60,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1.0,20,0,0,20,3,2,5,0,76,279,17,0.939068100358
2018-10-08 00:00:00,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1.0,16,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1.0,16,1,3,0,0,0,20,14,0,6,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,1.0,13,0,6,2,0,0,0,0,4,0,0,0,0,0,0,0,25,0,1.0,10,0,0,10,0,0,0,0,9,113,0,1.0
2018-10-09 00:00:00,22,1,14,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,34,1.0,22,1,20,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,46,0,1.0,31,1,19,0,0,0,51,25,0,25,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,1.0,20,0,25,9,0,0,0,0,2,0,0,0,0,0,0,0,56,0,1.0,24,0,0,24,10,3,13,0,73,291,0,1.0
2018-10-10 00:00:00,179,0,0,0,0,0,0,0,0,0,2,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,182,30,269,0.835164835165,184,0,0,0,0,0,0,0,0,0,2,0,1,9,0,0,0,0,0,0,0,0,0,187,9,0.951871657754,127,0,0,0,0,0,127,28,0,38,11,0,0,0,0,0,0,0,0,181,0,0,1,0,0,0,0,0,0,0,0,0,0,258,1,0.996124031008,37,0,38,11,0,0,0,0,0,0,0,0,184,0,0,0,270,0,1.0,17,0,223,240,5,9,14,0,450,1278,40,0.968701095462
2018-10-11 00:00:00,528,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,534,6,0,0.988764044944,519,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,0,1.0,237,2,0,0,0,0,239,70,0,49,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,1.0,73,0,49,22,0,0,0,0,0,0,0,0,0,0,0,0,144,0,1.0,7,0,0,7,1,20,21,0,534,1611,6,0.996275605214
2018-10-12 00:00:00,197,91,7,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,295,9,0,0.969491525424,198,103,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,308,2,0.993506493506,41,7,6,0,0,0,54,60,0,18,10,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,1.0,60,0,18,10,0,0,0,0,8,0,0,0,0,0,0,0,96,0,1.0,34,0,0,34,1,6,7,0,295,890,11,0.987640449438
2018-10-13 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.0,12,12,0,0,0,0,24,36,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,1.0,38,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,44,0,1.0,32,0,0,32,2,2,4,0,0,148,0,1.0
2018-10-14 00:00:00,73,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,1.0,73,0,1,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,83,4,0.951807228916,195,50,1,0,0,0,246,36,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,1.0,36,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,40,0,1.0,81,0,0,81,6,3,9,0,83,582,4,0.993127147766
2018-10-15 00:00:00,336,40,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,382,2,0,0.994764397906,336,91,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,432,2,0.99537037037,303,91,5,0,0,0,399,62,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,1.0,62,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,1.0,6,0,0,6,2,17,19,0,382,1372,4,0.997084548105
2018-10-16 00:00:00,498,0,14,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,513,4,154,0.992202729045,512,41,6,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,560,8,0.985714285714,448,35,6,0,0,0,489,25,0,26,7,0,0,0,0,4,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,1.0,25,0,25,7,0,0,0,0,4,0,0,0,147,0,0,0,208,0,1.0,83,0,101,184,3,18,21,0,666,2191,12,0.994523048836
2018-10-17 00:00:00,226,63,8,0,0,0,0,0,4,0,9,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,312,5,163,0.983974358974,226,63,8,0,0,0,0,0,4,0,10,0,2,0,0,1,0,0,0,0,0,0,0,313,1,0.996805111821,173,54,5,0,0,0,232,25,1,36,6,0,0,0,0,0,0,0,0,128,0,0,1,0,0,0,0,0,0,0,0,0,0,196,1,0.994897959184,25,0,36,6,0,0,0,0,0,0,0,0,64,0,0,0,131,0,1.0,25,0,110,135,27,10,37,0,473,1356,7,0.994837758112
2018-10-18 00:00:00,86,21,2,0,0,0,0,0,0,0,5,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,117,3,72,0.974358974359,86,21,2,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,117,0,1.0,47,1,2,0,0,0,50,32,2,15,3,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,1.0,32,0,15,3,0,0,0,0,0,0,0,0,48,0,0,0,98,0,1.0,32,0,25,57,15,6,21,0,186,584,3,0.994863013699
2018-10-19 00:00:00,22,8,3,0,0,0,0,0,2,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,35,8,0,0.771428571429,22,6,3,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,33,4,0.878787878788,12,0,0,0,0,0,12,29,0,14,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,1.0,28,0,14,2,0,0,0,0,4,0,0,0,0,0,0,0,48,0,1.0,2,0,0,2,1,4,5,0,35,184,12,0.934782608696
2018-10-20 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,4,0,41,32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,77,1,0.987012987013,5,0,41,32,0,0,0,0,0,0,0,0,0,0,0,0,78,0,1.0,0,0,0,0,0,0,0,0,0,155,1,0.993548387097
