week,proc_Ind_cmp,proc_Ind_run,proc_Rng_cmp,proc_Rng_run,proc_Ser_cmp,proc_Ser_run,proc_Bat_cmp,proc_Bat_run,proc_IndMod_cmp,proc_IndMod_run,proc_NoBO,proc_Parser_cmp,proc_Parser_run,proc_Ind_cmp_bad,proc_Ind_run_bad,proc_Rng_cmp_bad,proc_Rng_run_bad,proc_Ser_cmp_bad,proc_Ser_run_bad,proc_Bat_cmp_bad,proc_Bat_run_bad,proc_IndMod_cmp_bad,proc_IndMod_run_bad,proc_NoBO_bad,proc_Parser_cmp_bad,proc_Parser_run_bad,sum_proc,sum_proc_bad,sum_BO_Parser,acc_proc,pa1_Ind_cmp,pa1_Ind_run,pa1_Rng_cmp,pa1_Rng_run,pa1_Ser_cmp,pa1_Ser_run,pa1_Bat_cmp,pa1_Bat_run,pa1_IndMod_cmp,pa1_IndMod_run,pa1_NoBO,pa1_Parser_cmp,pa1_Parser_run,pa1_Ind_cmp_bad,pa1_Ind_run_bad,pa1_Rng_cmp_bad,pa1_Rng_run_bad,pa1_Ser_cmp_bad,pa1_Ser_run_bad,pa1_Bat_cmp_bad,pa1_Bat_run_bad,pa1_IndMod_cmp_bad,pa1_IndMod_run_bad,sum_pa1,sum_pa1_bad,acc_pa1,pa2_Ind_cmp,pa2_Ind_run,pa2_Rng_cmp,pa2_Rng_run,pa2_Bat_cmp,pa2_Bat_run,sum_pa2,ing_Ind_cmp,ing_Ind_run,ing_Rng_cmp,ing_Rng_run,ing_Ser_cmp,ing_Ser_run,ing_Bat_cmp,ing_Bat_run,ing_IndMod_cmp,ing_IndMod_run,ing_Parser_cmp,ing_Parser_run,ing_Parser_ing,ing_Ind_cmp_bad,ing_Ind_run_bad,ing_Rng_cmp_bad,ing_Rng_run_bad,ing_Ser_cmp_bad,ing_Ser_run_bad,ing_Bat_cmp_bad,ing_Bat_run_bad,ing_IndMod_cmp_bad,ing_IndMod_run_bad,ing_Parser_cmp_bad,ing_Parser_run_bad,ing_Parser_ing_bad,sum_ing,sum_ing_bad,acc_ing,ia1_Ind_cmp,ia1_Ind_run,ia1_Rng_cmp,ia1_Rng_run,ia1_Ser_cmp,ia1_Ser_run,ia1_Bat_cmp,ia1_Bat_run,ia1_IndMod_cmp,ia1_IndMod_run,ia1_Parser_cmp,ia1_Parser_run,ia1_Parser_ing,ia1_Ind_cmp_bad,ia1_Ind_run_bad,ia1_Parser_ing_bad,sum_ia1,sum_ia1_bad,acc_ia1,ia2_Ind_cmp,ia2_Ind_run,ia2_Parser_ing,sum_ia2,aps_Stack_cmp,aps_Stack_run,sum_aps,sum_mail,sum_BO,sum_task,sum_task_bad,acc_overall
2017-12-01 00:00:00,407,0,161,0,6,3,0,0,21,0,30,0,0,60,0,8,0,3,0,0,0,0,0,0,0,0,628,71,0,0.886942675159,600,0,136,0,0,0,11,0,0,0,0,0,0,21,0,1,0,0,0,0,0,0,0,747,22,0.970548862115,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1.0,0,0,0,0,87,4,91,0,628,1471,93,0.936777702243
2018-01-01 00:00:00,1219,0,247,1,13,0,0,0,63,0,39,0,0,103,0,6,0,2,0,0,0,0,0,0,0,0,1582,111,0,0.929835651075,1021,0,313,22,0,0,0,0,0,0,0,0,0,73,0,8,0,0,0,0,0,0,0,1356,81,0.940265486726,105,0,0,0,0,0,105,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1.0,0,0,1,23,26,0,0,0,0,0,0,0,0,0,0,0,50,0,1.0,0,0,0,0,151,11,162,0,1582,3277,192,0.94140982606
2018-02-01 00:00:00,772,4,135,1,6,33,0,0,32,0,2,6,0,317,2,26,0,0,0,0,0,0,0,0,0,0,991,345,606,0.651866801211,1097,4,133,4,0,0,0,0,0,0,0,6,0,89,2,4,0,0,0,0,0,0,0,1244,95,0.923633440514,481,2,34,2,0,0,519,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,1.0,0,0,2,100,5,0,0,0,0,0,0,0,0,0,0,0,107,0,1.0,0,0,0,0,44,10,54,0,1591,3012,440,0.853917662683
2018-03-01 00:00:00,767,0,153,2,1,1,0,0,167,0,49,9,0,103,0,16,2,0,0,0,0,1,0,0,0,0,1149,122,729,0.893820713664,835,0,155,6,3,0,0,0,61,0,0,9,0,31,0,4,0,0,0,0,0,0,0,1069,35,0.967259120674,873,0,142,6,0,0,1021,109,0,2,112,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,1.0,12,0,7,115,1,0,0,0,0,0,0,0,0,0,0,0,135,0,1.0,2,0,0,2,340,18,358,0,1869,3960,157,0.960353535354
2018-04-01 00:00:00,942,0,126,10,28,0,0,0,187,0,0,7,0,58,0,6,0,15,0,0,0,1,0,0,0,0,1300,80,533,0.938461538462,952,0,125,12,31,0,0,0,177,0,0,7,0,3,0,2,0,0,0,0,0,0,0,1304,5,0.996165644172,984,0,132,12,0,0,1128,4,0,1,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,1.0,412,0,95,152,28,0,0,0,106,0,0,0,0,4,0,0,793,4,0.994955863808,0,0,0,0,205,19,224,0,1826,4901,89,0.981840440726
2018-05-01 00:00:00,939,0,133,5,0,0,0,0,125,0,3,8,0,82,0,8,1,0,0,0,0,0,0,0,0,0,1213,91,523,0.924979389942,1123,0,158,5,0,0,0,0,132,0,1,8,0,38,0,0,0,0,0,0,0,0,0,1427,38,0.973370707779,1125,0,159,6,0,0,1290,23,0,4,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,1.0,690,0,327,142,0,0,0,0,97,0,0,0,2,16,0,0,1258,16,0.987281399046,493,0,0,493,191,14,205,0,1728,6048,145,0.976025132275
2018-06-01 00:00:00,642,21,129,4,1,0,0,0,190,0,9,7,3,41,2,9,1,1,0,0,0,3,0,0,0,0,1006,57,642,0.943339960239,641,22,130,7,2,0,0,0,192,0,2,7,3,15,4,1,0,0,0,0,0,0,0,1006,20,0.980119284294,634,22,126,7,0,0,789,64,0,71,177,0,0,0,0,36,0,0,0,527,0,0,3,0,0,0,0,0,0,0,0,0,0,875,3,0.996571428571,733,0,266,181,1,0,0,0,146,0,0,0,558,8,0,0,1885,8,0.99575596817,800,0,46,846,201,22,223,0,1638,6630,88,0.986726998492
2018-07-01 00:00:00,627,0,191,4,0,0,0,0,70,0,20,0,10,30,0,5,1,0,0,0,0,0,0,0,0,0,922,36,594,0.960954446855,632,0,191,5,0,0,0,0,69,0,19,0,10,4,0,1,0,0,0,0,0,0,0,926,5,0.994600431965,631,0,191,5,0,0,827,297,0,267,288,0,0,0,0,62,0,0,0,570,0,0,4,0,0,0,0,0,1,0,0,0,0,1484,5,0.996630727763,481,0,391,292,0,0,0,0,69,0,0,0,561,2,0,0,1794,2,0.998885172798,526,0,558,1084,184,28,212,0,1506,7249,48,0.99337839702
2018-08-01 00:00:00,768,78,186,32,0,3,0,0,63,0,2,0,10,30,0,4,1,0,0,0,0,0,0,0,0,0,1142,35,605,0.969352014011,766,78,187,32,0,0,0,0,63,0,2,0,10,19,0,1,0,0,0,0,0,0,0,1138,20,0.982425307557,774,78,187,32,0,0,1071,652,0,482,412,0,0,0,0,62,0,0,0,529,0,0,0,0,0,0,0,0,1,0,0,0,0,2137,1,0.999532054282,771,0,510,416,0,0,0,0,63,0,0,0,527,6,0,0,2287,6,0.997376475732,797,0,521,1318,219,50,269,0,1737,9362,62,0.993377483444
2018-09-01 00:00:00,495,109,59,120,0,0,0,0,67,14,127,0,15,49,4,5,9,0,0,0,0,0,0,0,0,0,1006,67,655,0.933399602386,568,123,65,172,0,0,0,0,70,14,130,0,15,7,4,2,9,0,0,0,0,0,0,1157,22,0.980985306828,568,123,65,172,0,0,928,660,0,348,544,0,0,0,0,70,0,0,0,176,0,0,2,2,0,0,0,0,0,0,0,0,0,1798,4,0.997775305895,667,0,354,552,0,0,0,0,70,0,0,0,230,0,0,0,1873,0,1.0,667,0,226,893,320,78,398,0,1646,8053,93,0.988451508755
