week,proc_Ind_cmp,proc_Ind_run,proc_Rng_cmp,proc_Rng_run,proc_Ser_cmp,proc_Ser_run,proc_Bat_cmp,proc_Bat_run,proc_IndMod_cmp,proc_IndMod_run,proc_NoBO,proc_Parser_cmp,proc_Parser_run,proc_Ind_cmp_bad,proc_Ind_run_bad,proc_Rng_cmp_bad,proc_Rng_run_bad,proc_Ser_cmp_bad,proc_Ser_run_bad,proc_Bat_cmp_bad,proc_Bat_run_bad,proc_IndMod_cmp_bad,proc_IndMod_run_bad,proc_NoBO_bad,proc_Parser_cmp_bad,proc_Parser_run_bad,sum_proc,sum_proc_bad,acc_proc,pa1_Ind_cmp,pa1_Ind_run,pa1_Rng_cmp,pa1_Rng_run,pa1_Ser_cmp,pa1_Ser_run,pa1_Bat_cmp,pa1_Bat_run,pa1_IndMod_cmp,pa1_IndMod_run,pa1_NoBO,pa1_Parser_cmp,pa1_Parser_run,pa1_Ind_cmp_bad,pa1_Ind_run_bad,pa1_Rng_cmp_bad,pa1_Rng_run_bad,pa1_Ser_cmp_bad,pa1_Ser_run_bad,pa1_Bat_cmp_bad,pa1_Bat_run_bad,pa1_IndMod_cmp_bad,pa1_IndMod_run_bad,sum_pa1,sum_pa1_bad,acc_pa1,pa2_Ind_cmp,pa2_Ind_run,pa2_Rng_cmp,pa2_Rng_run,pa2_Bat_cmp,pa2_Bat_run,sum_pa2,ing_Ind_cmp,ing_Ind_run,ing_Rng_cmp,ing_Rng_run,ing_Ser_cmp,ing_Ser_run,ing_Bat_cmp,ing_Bat_run,ing_IndMod_cmp,ing_IndMod_run,ing_Parser_cmp,ing_Parser_run,ing_Parser_ing,ing_Ind_cmp_bad,ing_Ind_run_bad,ing_Rng_cmp_bad,ing_Rng_run_bad,ing_Ser_cmp_bad,ing_Ser_run_bad,ing_Bat_cmp_bad,ing_Bat_run_bad,ing_IndMod_cmp_bad,ing_IndMod_run_bad,ing_Parser_cmp_bad,ing_Parser_run_bad,ing_Parser_ing_bad,sum_ing,sum_ing_bad,acc_ing,ia1_Ind_cmp,ia1_Ind_run,ia1_Rng_cmp,ia1_Rng_run,ia1_Ser_cmp,ia1_Ser_run,ia1_Bat_cmp,ia1_Bat_run,ia1_IndMod_cmp,ia1_IndMod_run,ia1_Parser_cmp,ia1_Parser_run,ia1_Parser_ing,ia1_Ind_cmp_bad,ia1_Ind_run_bad,ia1_Parser_ing_bad,sum_ia1,sum_ia1_bad,acc_ia1,ia2_Ind_cmp,ia2_Ind_run,ia2_Parser_ing,sum_ia2,aps_Stack_cmp,aps_Stack_run,sum_aps,sum_mail,sum_BO,sum_task,sum_task_bad,acc_overall
2017-12-01 00:00:00,407,0,161,0,6,3,0,0,21,0,30,0,0,60,0,8,0,3,0,0,0,0,0,0,0,0,628,71,0.886942675159,727,0,220,0,0,0,11,0,0,0,0,0,0,44,0,4,0,0,0,0,0,0,0,958,48,0.949895615866,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1.0,0,0,0,0,87,4,91,0,628,1591,119,0.925204274041
2018-01-01 00:00:00,1219,0,247,1,13,0,0,0,63,0,39,0,0,103,0,6,0,2,0,0,0,0,0,0,0,0,1582,111,0.929835651075,1023,0,315,22,0,0,0,0,0,0,0,0,0,73,0,8,0,0,0,0,0,0,0,1360,81,0.940441176471,105,0,0,0,0,0,105,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1.0,0,0,1,23,26,0,0,0,0,0,0,0,0,0,0,0,50,0,1.0,0,0,0,0,151,11,162,0,1582,3119,192,0.938441808272
2018-02-01 00:00:00,772,4,135,1,6,33,0,0,32,0,2,6,0,317,2,26,0,0,0,0,0,0,0,0,0,0,991,345,0.651866801211,1123,4,148,5,0,0,0,0,0,0,0,6,0,89,2,4,0,0,0,0,0,0,0,1286,95,0.926127527216,530,4,34,2,0,0,570,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,1.0,0,0,2,102,5,0,0,0,0,0,0,0,0,0,0,0,109,0,1.0,0,0,0,0,44,10,54,0,1591,3056,440,0.856020942408
2018-03-01 00:00:00,767,0,153,2,1,1,0,0,167,0,49,9,0,103,0,16,2,0,0,0,0,1,0,0,0,0,1149,122,0.893820713664,847,0,156,7,3,0,0,0,62,0,0,9,0,31,0,4,0,0,0,0,0,0,0,1084,35,0.967712177122,874,0,156,6,0,0,1036,109,0,2,118,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,1.0,12,0,7,120,1,0,0,0,0,0,0,0,0,0,0,0,140,0,1.0,2,0,0,2,340,18,358,0,1869,3643,157,0.956903650837
2018-04-01 00:00:00,942,0,126,10,28,0,0,0,187,0,0,7,0,58,0,6,0,15,0,0,0,1,0,0,0,0,1300,80,0.938461538462,962,0,126,12,31,0,0,0,180,0,0,7,0,5,0,2,0,0,0,0,0,0,0,1318,7,0.99468892261,1000,0,132,12,0,0,1144,4,0,1,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,1.0,438,0,97,157,28,0,0,0,108,0,0,0,0,4,0,0,828,4,0.995169082126,0,0,0,0,205,19,224,0,1826,4743,91,0.980813830909
2018-05-01 00:00:00,939,0,133,5,0,0,0,0,125,0,3,8,0,82,0,8,1,0,0,0,0,0,0,0,0,0,1213,91,0.924979389942,1129,0,158,7,0,0,0,0,134,0,1,8,0,38,0,0,0,0,0,0,0,0,0,1437,38,0.973556019485,1137,0,159,7,0,0,1303,23,0,4,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,1.0,707,0,332,146,0,0,0,0,103,0,0,0,2,24,0,0,1290,24,0.981395348837,508,0,0,508,191,15,206,0,1728,5915,153,0.974133558749
2018-06-01 00:00:00,642,21,129,4,1,0,0,0,190,0,9,7,3,41,2,9,1,1,0,0,0,3,0,0,0,0,1006,60,0.940357852883,641,22,130,7,2,0,0,0,192,0,2,7,3,15,4,1,0,0,0,0,0,0,0,1006,20,0.980119284294,637,22,130,7,0,0,796,64,0,71,176,0,0,0,0,36,0,0,0,527,0,0,3,0,0,0,0,0,0,0,0,0,0,874,3,0.996567505721,733,0,266,183,1,0,0,0,146,0,0,0,558,8,0,0,1887,8,0.995760466349,800,0,46,846,201,22,223,0,1638,6415,91,0.985814497272
2018-07-01 00:00:00,627,0,191,4,0,0,0,0,70,0,20,0,10,30,0,5,1,0,0,0,0,0,0,0,0,0,922,46,0.95010845987,632,0,191,29,0,0,0,0,69,0,19,0,10,4,0,1,0,0,0,0,0,0,0,950,5,0.994736842105,631,0,191,29,0,0,851,297,0,267,359,0,0,0,0,62,0,0,0,570,0,0,4,0,0,0,0,0,1,0,0,0,0,1555,5,0.996784565916,481,0,391,369,0,0,0,0,69,0,0,0,561,2,0,0,1871,2,0.998931052913,526,0,558,1084,184,28,212,0,1506,7233,58,0.99198119729
2018-08-01 00:00:00,755,94,179,39,0,3,0,0,63,0,2,0,10,30,0,4,1,0,0,0,0,0,0,0,0,0,1145,45,0.960698689956,753,94,180,39,0,0,0,0,63,0,2,0,10,19,0,1,0,0,0,0,0,0,0,1141,20,0.982471516214,761,94,180,39,0,0,1074,652,0,481,509,0,0,0,0,62,0,0,0,529,0,0,0,0,0,0,0,0,1,0,0,0,0,2233,1,0.999552171966,772,0,509,516,0,0,0,0,63,0,0,0,527,6,0,0,2387,6,0.997486384583,798,0,521,1319,219,52,271,0,1740,9299,72,0.99225723196
2018-09-01 00:00:00,300,66,36,39,0,0,0,0,61,2,115,0,6,20,4,4,3,0,0,0,0,0,0,0,0,0,625,37,0.9408,461,227,61,176,0,0,0,0,70,33,130,0,13,7,4,2,9,0,0,0,0,0,0,1171,22,0.98121263877,461,226,61,176,0,0,924,660,0,335,639,0,0,0,0,70,0,0,0,81,0,0,2,2,0,0,0,0,0,0,0,0,0,1785,4,0.997759103641,667,0,341,648,0,0,0,0,70,0,0,0,58,0,0,0,1784,0,1.0,667,0,50,717,290,54,344,0,978,7006,63,0.991007707679
2018-10-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
