week,proc_Ind_cmp,proc_Ind_run,proc_Rng_cmp,proc_Rng_run,proc_Ser_cmp,proc_Ser_run,proc_Bat_cmp,proc_Bat_run,proc_IndMod_cmp,proc_IndMod_run,proc_NoBO,proc_Parser_cmp,proc_Parser_run,proc_Ind_cmp_bad,proc_Ind_run_bad,proc_Rng_cmp_bad,proc_Rng_run_bad,proc_Ser_cmp_bad,proc_Ser_run_bad,proc_Bat_cmp_bad,proc_Bat_run_bad,proc_IndMod_cmp_bad,proc_IndMod_run_bad,proc_NoBO_bad,proc_Parser_cmp_bad,proc_Parser_run_bad,sum_proc,sum_proc_bad,sum_BO_Parser,acc_proc,pa1_Ind_cmp,pa1_Ind_run,pa1_Rng_cmp,pa1_Rng_run,pa1_Ser_cmp,pa1_Ser_run,pa1_Bat_cmp,pa1_Bat_run,pa1_IndMod_cmp,pa1_IndMod_run,pa1_NoBO,pa1_Parser_cmp,pa1_Parser_run,pa1_Ind_cmp_bad,pa1_Ind_run_bad,pa1_Rng_cmp_bad,pa1_Rng_run_bad,pa1_Ser_cmp_bad,pa1_Ser_run_bad,pa1_Bat_cmp_bad,pa1_Bat_run_bad,pa1_IndMod_cmp_bad,pa1_IndMod_run_bad,sum_pa1,sum_pa1_bad,acc_pa1,pa2_Ind_cmp,pa2_Ind_run,pa2_Rng_cmp,pa2_Rng_run,pa2_Bat_cmp,pa2_Bat_run,sum_pa2,ing_Ind_cmp,ing_Ind_run,ing_Rng_cmp,ing_Rng_run,ing_Ser_cmp,ing_Ser_run,ing_Bat_cmp,ing_Bat_run,ing_IndMod_cmp,ing_IndMod_run,ing_Parser_cmp,ing_Parser_run,ing_Parser_ing,ing_Ind_cmp_bad,ing_Ind_run_bad,ing_Rng_cmp_bad,ing_Rng_run_bad,ing_Ser_cmp_bad,ing_Ser_run_bad,ing_Bat_cmp_bad,ing_Bat_run_bad,ing_IndMod_cmp_bad,ing_IndMod_run_bad,ing_Parser_cmp_bad,ing_Parser_run_bad,ing_Parser_ing_bad,sum_ing,sum_ing_bad,acc_ing,ia1_Ind_cmp,ia1_Ind_run,ia1_Rng_cmp,ia1_Rng_run,ia1_Ser_cmp,ia1_Ser_run,ia1_Bat_cmp,ia1_Bat_run,ia1_IndMod_cmp,ia1_IndMod_run,ia1_Parser_cmp,ia1_Parser_run,ia1_Parser_ing,ia1_Ind_cmp_bad,ia1_Ind_run_bad,ia1_Parser_ing_bad,sum_ia1,sum_ia1_bad,acc_ia1,ia2_Ind_cmp,ia2_Ind_run,ia2_Parser_ing,sum_ia2,aps_Stack_cmp,aps_Stack_run,sum_aps,E-mails,Blackouts,Tasks,sum_task_bad,acc_overall,Accuracy
2017-12-04 00:00:00,122,0,0,0,4,2,0,0,0,0,7,0,0,24,0,0,0,3,2,0,0,0,0,0,0,0,135,29,0,0.785185185185,48,0,0,0,4,2,0,0,0,0,7,0,0,9,0,0,0,0,0,0,0,0,0,61,9,0.852459016393,46,0,0,0,0,0,46,42,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,1.0,41,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,47,0,1.0,32,0,0,32,12,0,12,0,135,381,38,0.900262467192,1.0
2017-12-11 00:00:00,213,0,0,0,3,1,0,0,0,0,8,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,225,20,0,0.911111111111,100,0,0,0,3,1,0,0,0,0,8,0,0,16,0,0,0,0,0,0,0,0,0,112,16,0.857142857143,99,0,0,0,0,0,99,91,0,0,0,3,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,1.0,82,0,0,0,3,1,0,0,14,0,0,0,0,6,0,0,100,6,0.94,65,0,0,65,8,5,13,0,225,723,42,0.941908713693,0.934065934066
2017-12-18 00:00:00,412,0,0,0,0,0,0,0,21,0,13,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,446,87,0,0.804932735426,150,0,0,0,0,0,0,0,21,0,13,0,0,12,0,0,0,0,0,0,0,0,0,184,12,0.934782608696,130,0,0,0,0,0,130,142,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,1.0,147,0,0,0,0,0,0,0,9,0,0,0,0,12,0,0,156,12,0.923076923077,155,0,0,155,60,8,68,0,446,1290,111,0.913953488372,0.932203389831
2017-12-25 00:00:00,602,0,0,0,172,11,11,0,4,0,8,0,0,146,0,0,0,96,1,1,0,0,0,0,0,0,808,244,0,0.69801980198,140,0,0,0,172,11,11,0,4,0,8,0,0,16,0,0,0,0,0,0,0,0,0,346,16,0.953757225434,93,0,0,0,11,0,104,81,0,0,0,172,11,11,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,279,2,0.992831541219,80,0,0,0,172,11,11,0,4,0,0,0,0,4,0,0,278,4,0.985611510791,80,0,0,80,24,10,34,0,808,1929,266,0.86210471747,0.979020979021
2018-01-01 00:00:00,307,0,0,0,9,0,0,0,9,0,8,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,333,35,0,0.894894894895,783,0,0,0,9,0,0,0,9,0,8,0,0,61,0,0,0,0,0,0,0,0,0,809,61,0.924598269468,769,0,0,0,0,0,769,492,0,0,0,9,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,515,1,0.998058252427,495,0,0,0,9,0,0,0,14,0,0,0,0,15,0,0,518,15,0.971042471042,487,0,1,488,29,2,31,0,333,3463,112,0.967658099913,0.969171483622
2018-01-08 00:00:00,172,0,0,1,64,45,0,0,54,0,10,0,0,10,0,0,0,4,2,0,0,0,0,0,0,0,346,16,0,0.953757225434,262,0,0,1,64,45,0,0,54,0,10,0,0,46,0,0,0,0,0,0,0,0,0,436,46,0.894495412844,238,0,0,1,0,0,239,400,0,0,0,64,45,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,557,2,0.996409335727,399,0,0,0,64,45,0,0,48,0,0,0,0,33,0,0,556,33,0.940647482014,413,0,24,437,56,18,74,0,346,2645,97,0.963327032136,0.942052980132
2018-01-15 00:00:00,124,0,0,0,21,1,0,0,21,0,10,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,177,9,0,0.949152542373,377,0,0,0,21,1,0,0,21,0,10,0,0,22,0,0,0,0,0,0,0,0,0,430,22,0.948837209302,429,0,0,0,0,0,429,431,0,0,1,21,1,0,0,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,475,0,1.0,424,0,0,1,21,1,0,0,20,0,0,0,0,13,0,0,467,13,0.972162740899,411,0,0,411,65,5,70,0,177,2459,44,0.982106547377,0.971982758621
2018-01-22 00:00:00,647,0,0,17,34,1,0,0,9,0,5,0,0,56,0,0,1,1,0,0,0,0,0,0,0,0,713,58,0,0.918653576438,685,0,0,17,34,1,0,0,9,0,5,0,0,13,0,0,0,0,0,0,0,0,0,751,13,0.982689747004,374,0,0,17,0,0,391,192,0,0,0,34,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,1.0,201,0,0,0,34,1,0,0,9,0,0,0,0,2,0,0,245,2,0.991836734694,221,0,0,221,22,17,39,0,713,2596,73,0.9718798151,0.992592592593
2018-01-29 00:00:00,366,0,0,9,3,0,0,0,10,0,11,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,399,47,0,0.882205513784,378,0,0,9,3,0,0,0,10,0,11,0,0,29,0,0,0,0,0,0,0,0,0,411,29,0.929440389294,701,0,0,9,0,0,710,229,0,0,24,3,0,0,0,10,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,267,2,0.992509363296,231,0,0,24,3,0,0,0,10,0,0,0,0,2,0,0,268,2,0.992537313433,200,0,0,200,55,7,62,0,399,2317,80,0.965472593871,0.983870967742
2018-02-05 00:00:00,96,0,0,1,2,2,0,0,11,0,1,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,113,52,0,0.53982300885,107,0,0,1,2,2,0,0,11,0,1,0,0,5,0,0,0,0,0,0,0,0,0,124,5,0.959677419355,124,0,0,1,0,0,125,391,0,0,15,2,2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,427,1,0.997658079625,389,0,0,15,2,2,0,0,17,0,0,0,0,4,0,0,425,4,0.990588235294,422,0,0,422,26,2,28,0,113,1664,62,0.962740384615,0.989106753813
