week,proc_Ind_cmp,proc_Ind_run,proc_Rng_cmp,proc_Rng_run,proc_Ser_cmp,proc_Ser_run,proc_Bat_cmp,proc_Bat_run,proc_IndMod_cmp,proc_IndMod_run,proc_NoBO,proc_Parser_cmp,proc_Parser_run,proc_Ind_cmp_bad,proc_Ind_run_bad,proc_Rng_cmp_bad,proc_Rng_run_bad,proc_Ser_cmp_bad,proc_Ser_run_bad,proc_Bat_cmp_bad,proc_Bat_run_bad,proc_IndMod_cmp_bad,proc_IndMod_run_bad,proc_NoBO_bad,proc_Parser_cmp_bad,proc_Parser_run_bad,sum_proc,sum_proc_bad,sum_BO_Parser,acc_proc,pa1_Ind_cmp,pa1_Ind_run,pa1_Rng_cmp,pa1_Rng_run,pa1_Ser_cmp,pa1_Ser_run,pa1_Bat_cmp,pa1_Bat_run,pa1_IndMod_cmp,pa1_IndMod_run,pa1_NoBO,pa1_Parser_cmp,pa1_Parser_run,pa1_Ind_cmp_bad,pa1_Ind_run_bad,pa1_Rng_cmp_bad,pa1_Rng_run_bad,pa1_Ser_cmp_bad,pa1_Ser_run_bad,pa1_Bat_cmp_bad,pa1_Bat_run_bad,pa1_IndMod_cmp_bad,pa1_IndMod_run_bad,sum_pa1,sum_pa1_bad,acc_pa1,pa2_Ind_cmp,pa2_Ind_run,pa2_Rng_cmp,pa2_Rng_run,pa2_Bat_cmp,pa2_Bat_run,sum_pa2,ing_Ind_cmp,ing_Ind_run,ing_Rng_cmp,ing_Rng_run,ing_Ser_cmp,ing_Ser_run,ing_Bat_cmp,ing_Bat_run,ing_IndMod_cmp,ing_IndMod_run,ing_Parser_cmp,ing_Parser_run,ing_Parser_ing,ing_Ind_cmp_bad,ing_Ind_run_bad,ing_Rng_cmp_bad,ing_Rng_run_bad,ing_Ser_cmp_bad,ing_Ser_run_bad,ing_Bat_cmp_bad,ing_Bat_run_bad,ing_IndMod_cmp_bad,ing_IndMod_run_bad,ing_Parser_cmp_bad,ing_Parser_run_bad,ing_Parser_ing_bad,sum_ing,sum_ing_bad,acc_ing,ia1_Ind_cmp,ia1_Ind_run,ia1_Rng_cmp,ia1_Rng_run,ia1_Ser_cmp,ia1_Ser_run,ia1_Bat_cmp,ia1_Bat_run,ia1_IndMod_cmp,ia1_IndMod_run,ia1_Parser_cmp,ia1_Parser_run,ia1_Parser_ing,ia1_Ind_cmp_bad,ia1_Ind_run_bad,ia1_Parser_ing_bad,sum_ia1,sum_ia1_bad,acc_ia1,ia2_Ind_cmp,ia2_Ind_run,ia2_Parser_ing,sum_ia2,aps_Stack_cmp,aps_Stack_run,sum_aps,sum_mail,sum_BO,sum_task,sum_task_bad,acc_overall,acc_final
2018-10-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1.0,12,0,0,0,0,0,12,55,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1.0,5,0,0,1,0,0,0,0,1,0,0,0,17,0,0,0,24,0,1.0,0,0,0,0,0,1,1,0,0,101,0,1.0,1.0
2018-10-08 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,302,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,303,4,0.986798679868,15,1,1,0,0,0,17,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,1.0,77,0,0,1,0,0,0,0,2,0,0,0,67,0,0,0,147,0,1.0,18,0,0,18,0,1,1,0,0,512,4,0.9921875,1.0
2018-10-15 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,479,0,11,0,0,0,0,0,0,0,2,0,1,4,0,0,0,0,0,0,0,0,0,493,4,0.991886409736,61,0,0,0,0,0,61,47,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,1.0,40,0,2,1,0,0,0,0,6,0,0,0,22,0,0,0,71,0,1.0,0,0,22,22,0,0,0,0,0,696,4,0.994252873563,1.0
2018-10-22 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,1.0,105,0,22,1,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,129,10,0.922480620155,36,0,0,0,0,0,36,152,0,1,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,1.0,2,0,2,0,0,0,0,0,2,0,0,0,48,0,0,0,54,0,1.0,2,0,25,27,0,2,2,0,99,414,10,0.975845410628,1.0
2018-10-29 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,202,0,16,0,0,0,0,0,6,0,0,0,0,8,0,1,0,0,0,0,0,0,0,224,9,0.959821428571,33,0,2,0,0,0,35,41,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,1.0,0,0,1,1,0,0,0,0,7,0,0,0,0,0,0,0,9,0,1.0,0,0,10,10,0,0,0,0,0,327,9,0.97247706422,1.0
2018-11-05 00:00:00,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1.0,93,9,23,0,0,0,0,0,10,0,0,0,0,12,0,0,0,0,0,0,0,0,0,135,12,0.911111111111,3,0,0,0,0,0,3,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1.0,0,0,0,0,0,1,1,0,2,154,12,0.922077922078,1.0
2018-11-12 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,36,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,1.0,44,0,5,0,0,0,49,62,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,1.0,2,0,5,1,0,0,0,0,0,0,0,0,2,0,0,0,10,0,1.0,48,0,36,84,0,0,0,0,0,303,0,1.0,1.0
2018-11-19 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,38,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,49,1,0.979591836735,6,0,4,0,0,0,10,19,0,10,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,33,1,0.969696969697,5,0,17,1,0,0,0,0,0,0,0,0,1,0,0,0,24,0,1.0,51,0,1,52,0,0,0,0,0,168,2,0.988095238095,0.985714285714
2018-11-26 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,169,0,26,13,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,1.0,6,0,0,0,0,0,6,7,0,5,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,1,0.958333333333,51,0,17,1,0,0,0,0,7,0,0,0,0,0,0,0,76,0,1.0,8,0,0,8,0,0,0,0,0,335,1,0.997014925373,0.969696969697
2018-12-03 00:00:00,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1.0,53,0,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,1.0,2,0,0,0,0,0,2,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,1,0.96,55,0,38,1,0,0,0,0,11,0,0,0,0,1,0,0,105,1,0.990476190476,13,0,0,13,0,0,0,0,4,221,2,0.990950226244,0.968253968254
2018-12-10 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,42,0,24,6,1,2,0,0,13,0,118,0,0,0,0,0,0,0,0,0,0,0,0,206,0,1.0,1,0,0,0,0,0,1,14,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1.0,128,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,1.0,4,0,0,4,0,0,0,0,0,396,0,1.0,1.0
2018-12-17 00:00:00,25,0,5,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,32,2,278,0.9375,98,0,21,12,2,29,0,0,2,0,35,0,1,2,0,0,0,0,0,0,0,0,0,200,2,0.99,0,0,0,0,0,0,0,2,0,20,0,0,0,0,0,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,34,1,0.970588235294,56,0,9,2,0,0,0,0,4,0,0,0,0,0,0,0,71,0,1.0,0,0,0,0,3,3,6,0,309,343,5,0.985422740525,0.98
